mB;mA
2.0170E-02;4.0340E-06
2.0211E-02;4.0422E-06
2.0238E-02;4.0476E-06
2.0263E-02;4.0526E-06
2.0273E-02;4.0546E-06
2.0303E-02;4.0606E-06
2.0395E-02;4.0790E-06
2.0415E-02;4.0829E-06
2.0429E-02;4.0857E-06
2.0454E-02;4.0908E-06
2.0456E-02;4.0911E-06
2.0465E-02;4.0930E-06
2.0469E-02;4.0937E-06
2.0472E-02;4.0943E-06
2.0472E-02;4.0945E-06
2.0524E-02;4.1047E-06
2.0543E-02;4.1086E-06
2.0544E-02;4.1088E-06
2.0550E-02;4.1100E-06
2.0554E-02;4.1109E-06
2.0563E-02;4.1126E-06
2.0570E-02;4.1140E-06
2.0572E-02;4.1144E-06
2.0585E-02;4.1170E-06
2.0585E-02;4.1170E-06
2.0591E-02;4.1181E-06
2.0609E-02;4.1219E-06
2.0610E-02;4.1221E-06
2.0618E-02;4.1235E-06
2.0622E-02;4.1245E-06
2.0631E-02;4.1262E-06
2.0636E-02;4.1273E-06
2.0639E-02;4.1278E-06
2.0639E-02;4.1278E-06
2.0639E-02;4.1278E-06
2.0639E-02;4.1278E-06
2.0653E-02;4.1306E-06
2.0660E-02;4.1319E-06
2.0660E-02;4.1319E-06
2.0661E-02;4.1321E-06
2.0662E-02;4.1325E-06
2.0675E-02;4.1349E-06
2.0682E-02;4.1364E-06
2.0687E-02;4.1373E-06
2.0695E-02;4.1390E-06
2.0708E-02;4.1416E-06
2.0709E-02;4.1418E-06
2.0720E-02;4.1440E-06
2.0738E-02;4.1476E-06
2.0738E-02;4.1476E-06
2.0739E-02;4.1478E-06
2.0741E-02;4.1481E-06
2.0749E-02;4.1498E-06
2.0752E-02;4.1504E-06
2.0761E-02;4.1522E-06
2.0770E-02;4.1541E-06
2.0773E-02;4.1547E-06
2.0774E-02;4.1548E-06
2.0774E-02;4.1548E-06
2.0776E-02;4.1552E-06
2.0797E-02;4.1593E-06
2.0811E-02;4.1621E-06
2.0828E-02;4.1656E-06
2.0836E-02;4.1671E-06
2.0837E-02;4.1673E-06
2.0844E-02;4.1688E-06
2.0852E-02;4.1705E-06
2.0853E-02;4.1707E-06
2.0857E-02;4.1714E-06
2.0869E-02;4.1738E-06
2.0879E-02;4.1759E-06
2.0879E-02;4.1759E-06
2.0880E-02;4.1761E-06
2.0890E-02;4.1779E-06
2.0892E-02;4.1785E-06
2.0899E-02;4.1798E-06
2.0908E-02;4.1817E-06
2.0910E-02;4.1820E-06
2.0914E-02;4.1828E-06
2.0914E-02;4.1828E-06
2.0915E-02;4.1830E-06
2.0916E-02;4.1832E-06
2.0919E-02;4.1837E-06
2.0925E-02;4.1850E-06
2.0933E-02;4.1867E-06
2.0950E-02;4.1900E-06
2.0953E-02;4.1906E-06
2.0953E-02;4.1906E-06
2.0954E-02;4.1908E-06
2.0954E-02;4.1908E-06
2.0960E-02;4.1921E-06
2.0960E-02;4.1921E-06
2.0961E-02;4.1923E-06
2.0964E-02;4.1928E-06
2.0971E-02;4.1941E-06
2.0972E-02;4.1943E-06
2.0974E-02;4.1949E-06
2.0979E-02;4.1958E-06
2.0982E-02;4.1964E-06
2.0984E-02;4.1968E-06
2.0989E-02;4.1979E-06
2.0999E-02;4.1997E-06
2.1002E-02;4.2005E-06
2.1007E-02;4.2014E-06
2.1014E-02;4.2027E-06
2.1014E-02;4.2027E-06
2.1015E-02;4.2031E-06
2.1021E-02;4.2042E-06
2.1028E-02;4.2055E-06
2.1029E-02;4.2059E-06
2.1033E-02;4.2066E-06
2.1039E-02;4.2077E-06
2.1045E-02;4.2090E-06
2.1050E-02;4.2100E-06
2.1055E-02;4.2109E-06
2.1056E-02;4.2113E-06
2.1056E-02;4.2113E-06
2.1065E-02;4.2130E-06
2.1070E-02;4.2141E-06
2.1070E-02;4.2141E-06
2.1071E-02;4.2143E-06
2.1073E-02;4.2146E-06
2.1076E-02;4.2152E-06
2.1085E-02;4.2171E-06
2.1091E-02;4.2182E-06
2.1092E-02;4.2184E-06
2.1096E-02;4.2191E-06
2.1096E-02;4.2193E-06
2.1099E-02;4.2198E-06
2.1115E-02;4.2230E-06
2.1127E-02;4.2254E-06
2.1134E-02;4.2267E-06
2.1135E-02;4.2269E-06
2.1143E-02;4.2286E-06
2.1143E-02;4.2286E-06
2.1146E-02;4.2292E-06
2.1150E-02;4.2299E-06
2.1150E-02;4.2301E-06
2.1152E-02;4.2305E-06
2.1160E-02;4.2320E-06
2.1163E-02;4.2327E-06
2.1166E-02;4.2333E-06
2.1177E-02;4.2353E-06
2.1177E-02;4.2355E-06
2.1181E-02;4.2362E-06
2.1184E-02;4.2368E-06
2.1186E-02;4.2372E-06
2.1186E-02;4.2372E-06
2.1194E-02;4.2388E-06
2.1210E-02;4.2420E-06
2.1211E-02;4.2422E-06
2.1219E-02;4.2439E-06
2.1219E-02;4.2439E-06
2.1226E-02;4.2452E-06
2.1252E-02;4.2504E-06
2.1259E-02;4.2519E-06
2.1270E-02;4.2539E-06
2.1271E-02;4.2541E-06
2.1283E-02;4.2565E-06
2.1299E-02;4.2599E-06
2.1308E-02;4.2616E-06
2.1313E-02;4.2625E-06
2.1319E-02;4.2638E-06
2.1320E-02;4.2640E-06
2.1331E-02;4.2662E-06
2.1340E-02;4.2681E-06
2.1340E-02;4.2681E-06
2.1340E-02;4.2681E-06
2.1354E-02;4.2709E-06
2.1358E-02;4.2716E-06
2.1381E-02;4.2763E-06
2.1390E-02;4.2780E-06
2.1406E-02;4.2811E-06
2.1413E-02;4.2826E-06
2.1421E-02;4.2841E-06
2.1422E-02;4.2845E-06
2.1435E-02;4.2869E-06
2.1436E-02;4.2873E-06
2.1439E-02;4.2878E-06
2.1449E-02;4.2899E-06
2.1450E-02;4.2901E-06
2.1461E-02;4.2921E-06
2.1479E-02;4.2958E-06
2.1503E-02;4.3007E-06
2.1509E-02;4.3018E-06
2.1509E-02;4.3018E-06
2.1516E-02;4.3031E-06
2.1542E-02;4.3083E-06
2.1544E-02;4.3089E-06
2.1565E-02;4.3130E-06
2.1578E-02;4.3156E-06
2.1603E-02;4.3206E-06
2.1611E-02;4.3221E-06
2.1612E-02;4.3225E-06
2.1626E-02;4.3253E-06
2.1640E-02;4.3281E-06
2.1693E-02;4.3387E-06
2.1723E-02;4.3446E-06
2.1751E-02;4.3502E-06
2.1844E-02;4.3689E-06
